filename,bug_fixes,avg_len,unique
IfTemplateExample.java,0,8.8,5
Immutable.java,0,10.0,2
StringBuilderInitWithCharTest.java,2,17.0,5
UArrayAccessTest.java,0,9.4,4
UMatches.java,0,8.411764705882353,17
IsSubtypeOf.java,0,9.0,4
ErrorProneInMemoryFileManager.java,1,10.416666666666666,10
GuardedByLockMethodTest.java,2,13.75,4
MethodMatchers.java,1,13.078947368421053,26
EqualsNaNTest.java,3,13.4,5
USynchronized.java,0,9.5,8
AssertFalse.java,1,14.0,3
JUnit4TearDownNotRunPositiveCaseCustomAfter.java,0,18.666666666666668,3
UTypeVarIdent.java,0,7.888888888888889,9
IncompatibleModifiersCheckerTest.java,3,32.25,12
BlockPlaceholderTemplateExample.java,0,10.5,9
BlockPlaceholderTemplateExample.java,0,10.5,9
UModifiers.java,0,8.5,9
InjectScopeAnnotationOnInterfaceOrAbstractClassTest.java,6,21.0,5
UDoWhileLoopTest.java,0,12.333333333333334,3
AsyncFunctionReturnsNullPositiveCases.java,0,11.0,3
AssertFalseNegativeCases.java,0,19.333333333333332,3
GuiceOverridesJavaxInjectableMethod.java,4,15.5625,16
FinallyNegativeCase2.java,0,14.428571428571429,7
NonOverridingEquals.java,1,11.0,16
MethodArgMatcher.java,0,14.11111111111111,8
ForOverrideCheckerTest.java,3,31.866666666666667,15
NoAllocationCheckerNegativeCases.java,1,12.88034188034188,102
RefasterRule.java,1,11.619047619047619,20
MethodReturnsNonNullStringTest.java,0,24.375,8
BadShiftAmount.java,10,10.625,15
BugChecker.java,21,17.033333333333335,119
InjectScopeOrQualifierAnnotationRetention.java,4,19.23076923076923,12
UArrayTypeTree.java,0,8.571428571428571,7
VariableDeclTemplate.java,0,6.8,4
InjectMoreThanOneInjectableConstructorTest.java,4,19.2,5
InvalidPatternSyntaxTest.java,4,15.6,5
MultipleReferencesToIdentifierTemplateExample.java,0,26.0,2
MultipleReferencesToIdentifierTemplateExample.java,0,26.0,2
InjectedConstructorAnnotationsNegativeCases.java,0,16.857142857142858,7
ImportClassDirectlyTemplateExample.java,0,15.0,4
ImportClassDirectlyTemplateExample.java,0,15.0,4
UInstanceOf.java,0,8.875,8
EmptyIfStatementPositiveCases.java,0,9.0,7
BugPatternFileGenerator.java,6,10.553191489361701,45
StringEqualityPositiveCases.java,0,12.428571428571429,7
InjectJavaxInjectOnAbstractMethod.java,3,17.125,8
PackageLocation.java,3,11.571428571428571,7
TypePredicate.java,2,9.0,2
NewInstanceAnonymousInnerClass.java,1,12.2,5
DivZeroTest.java,3,13.0,5
InjectAssistedInjectAndInjectOnConstructorsTest.java,5,20.2,5
CodeTransformerTestHelper.java,0,9.75,12
InferredThisTemplateExample.java,0,12.333333333333334,3
InferredThisTemplateExample.java,0,12.333333333333334,3
SamePackageImportsTemplate.java,0,18.666666666666668,3
InjectScopeAnnotationOnInterfaceOrAbstractClassPositiveCases.java,0,26.666666666666668,3
GuiceAssistedInjectScopingNegativeCases.java,0,12.727272727272727,11
CompileTimeConstantChecker.java,1,14.0625,14
CompilerBasedAbstractTest.java,1,13.090909090909092,10
DiamondTemplate.java,0,11.333333333333334,3
AsyncFunctionReturnsNull.java,0,24.0,1
GuiceOverridesGuiceInjectableMethodTest.java,3,18.6,5
NullnessPropagationTransferCases7.java,0,18.933333333333334,34
ReturnValueIgnored.java,9,15.75,7
Annotation.java,1,11.5,2
SelfEqualsNegativeCases.java,0,7.875,7
InjectInvalidTargetingOnScopingAnnotationPositiveCases.java,0,22.8,5
CannotMockFinalClassPositiveCases.java,0,12.8,5
PreconditionsInvalidPlaceholder.java,1,12.8125,15
ExpressionMethodSelect.java,0,16.0,4
PackageLocationTest.java,3,13.2,10
MethodInvocationMethodSelect.java,0,18.0,3
NonAtomicVolatileUpdateTest.java,2,16.6,5
ComparisonChainTemplate.java,0,9.166666666666666,6
UMethodInvocationTest.java,0,8.75,12
UTypeVarTest.java,0,11.222222222222221,7
ASTHelpersTest.java,8,15.875,52
AnyOfTemplateExample.java,0,11.5,2
AnyOfTemplateExample.java,0,11.5,2
InjectScopeAnnotationOnInterfaceOrAbstractClassNegativeCases.java,0,20.0,5
EmptyTopLevelDeclarationTest.java,0,13.2,5
CompilationTestHelper.java,15,12.225,34
DiffSupplier.java,0,10.0,2
FinallyPositiveCase2.java,0,21.8,10
IndexedPosition.java,0,12.285714285714286,7
NullnessPropagationTransferCases2.java,0,23.035087719298247,53
JMockTestWithoutRunWithOrRuleAnnotationTest.java,1,33.36363636363637,11
ArrayToStringConcatenation.java,6,13.25,8
BugCheckerLocalAnalysis.java,2,11.18018018018018,61
InjectMoreThanOneInjectableConstructor.java,3,19.454545454545453,11
MisusedWeekYearPositiveCases2.java,0,18.2,4
RectIntersectReturnValueIgnoredNegativeCases.java,0,10.263157894736842,18
PreconditionsCheckNotNull.java,6,13.833333333333334,6
TemplateMatch.java,0,9.75,8
NonCanonicalStaticMemberImport.java,0,17.0,3
UnnecessaryTypeArgument.java,1,9.125,16
UAssert.java,0,8.0,8
Match.java,0,6.166666666666667,5
Exact.java,1,6.5,4
NullablePrimitiveNegativeCases.java,0,10.75,3
ErrorProneToken.java,0,6.7,10
BugPatternFileGeneratorTest.java,3,13.24,17
AbstractReturnValueIgnored.java,6,13.083333333333334,12
BeforeTemplate.java,0,14.0,1
AdjustedPosition.java,0,15.625,8
Inliner.java,0,9.212765957446809,46
ClassCanBeStaticPositiveCase1.java,0,12.75,4
IsInstanceTemplate.java,0,14.0,3
MislabeledAndroidStringTest.java,0,18.75,8
InjectMoreThanOneQualifier.java,4,19.75,8
MethodVisibility.java,1,10.181818181818182,11
PreconditionsCheckNotNullTest.java,7,17.0,8
SourceFile.java,0,9.590909090909092,20
WildcardImportTest.java,2,15.85,20
ArrayHashCodePositiveCases2.java,0,14.6,13
WildcardTemplateExample.java,0,12.0,3
WildcardTemplateExample.java,0,12.0,3
TryTemplate.java,0,10.0,3
Bindings.java,0,7.454545454545454,18
RefasterRuleBuilderScanner.java,0,9.722222222222221,33
GuiceOverridesGuiceInjectableMethod.java,4,17.454545454545453,11
JUnit4TestNotRunNegativeCase5.java,0,16.5,4
StaticFieldTemplate.java,0,10.0,3
DeadException.java,8,10.777777777777779,9
NoAllocationCheckerPositiveCases.java,1,12.209876543209877,71
AfterTemplate.java,0,13.0,1
AbstractSuppressWarningsMatcher.java,4,13.363636363636363,11
UClassIdent.java,0,8.666666666666666,10
PreconditionsCheckNotNullPrimitiveNegativeCases.java,0,18.333333333333332,3
ExpressionTemplate.java,0,8.147058823529411,31
JUnit4TearDownNotRun.java,1,18.0,4
ErrorProneJavaCompilerTest.java,8,13.063291139240507,44
DepAnnNegativeCase1.java,0,14.7,10
CheckReturnValuePositiveCases.java,0,7.954545454545454,20
Nullness.java,0,10.9,10
ParenthesesOptionalTemplateExample.java,0,20.5,2
ParenthesesOptionalTemplateExample.java,0,20.5,2
StaticAccessedFromInstanceNegativeCases.java,0,9.2,9
InjectInvalidTargetingOnScopingAnnotationNegativeCases.java,0,22.8,5
NullablePrimitivePositiveCases.java,0,10.75,3
ArrayHashCodePositiveCases.java,0,14.0,13
ErrorProneOptions.java,2,13.710526315789474,32
InjectJavaxInjectOnAbstractMethodPositiveCases.java,0,15.222222222222221,8
GuardedByUtils.java,2,9.166666666666666,17
GetClassOnClassPositiveCases.java,0,15.2,5
URepeated.java,0,8.454545454545455,11
SelfEqualsPositiveCase2.java,0,7.333333333333333,5
IncompatibleModifiers.java,0,13.0,2
InjectScopeOrQualifierAnnotationRetentionNegativeCases.java,0,21.5,6
MisusedWeekYearNegativeCases.java,0,17.545454545454547,9
NeedsAnnotationProcessing.java,1,18.5,2
DepAnnNegativeCase2.java,0,10.333333333333334,6
InjectInvalidTargetingOnScopingAnnotation.java,5,16.857142857142858,13
Constructor.java,1,12.0,9
AnnotationDoesNotHaveArgument.java,0,13.333333333333334,3
Matches.java,0,6.0,2
AppliedFixTest.java,5,14.470588235294118,15
SamePackageImportsTemplateExample.java,0,15.0,3
SamePackageImportsTemplateExample.java,0,15.0,3
NonAtomicVolatileUpdateNegativeCases.java,0,17.333333333333332,9
ChoiceTest.java,0,10.4,5
ClassCanBeStatic.java,5,10.166666666666666,11
EmptyIfStatementTest.java,7,14.8,5
Suppressible.java,4,15.2,5
CollectionIncompatibleType.java,1,10.655172413793103,27
CannotMockFinalClass.java,1,21.857142857142858,7
CouldNotResolveImportException.java,0,30.0,1
LockMethodCheckerTest.java,2,16.363636363636363,11
CustomSuppressionTest.java,4,28.583333333333332,11
CompilerBasedTest.java,0,11.05,17
AbstractCollectionIncompatibleTypeMatcher.java,1,13.833333333333334,15
MatcherChecker.java,1,16.0,4
WrongParameterPackagePositiveCases.java,0,13.666666666666666,6
DogfoodErrorProne.java,0,9.0,12
PreconditionsCheckNotNullNegativeCase2.java,0,15.666666666666666,3
UAnnotationTest.java,0,12.0,3
Suppliers.java,6,8.714285714285714,21
TryFailThrowable.java,3,10.9,20
UClassType.java,0,10.625,7
LongLiteralLowerCaseSuffix.java,9,11.076923076923077,10
UExpression.java,0,8.5,2
BadAnnotationImplementationTest.java,0,27.714285714285715,14
AutoboxingTemplateExample.java,0,14.0,2
AutoboxingTemplateExample.java,0,14.0,2
Matcher.java,0,7.0,2
UMethodDecl.java,0,10.666666666666666,15
UTree.java,0,7.666666666666667,3
ReturnValueIgnoredPositiveCases.java,0,6.166666666666667,6
JUnit3TestNotRunNegativeCase1.java,0,12.352941176470589,16
MayOptionallyUseTemplateExample.java,0,15.666666666666666,3
MayOptionallyUseTemplateExample.java,0,15.666666666666666,3
TwoLinesToOneTemplate.java,0,14.666666666666666,3
StaticMethodTest.java,4,23.0,11
ArrayToStringConcatenationTest.java,4,16.8,5
EqualsNaN.java,1,7.181818181818182,11
UThrow.java,0,7.714285714285714,7
ArrayEqualsTest.java,7,14.777777777777779,8
